Match #,Robot,Team #,Mobility,aL4,aL3,aL2,aL1,aProcessor,aNet,tL4,tL3,tL2,tL1,tProcessor,tNet,Disabled,Deep,Shallow,Park,Algae Removal,Offense,Defense,Accuracy,Comments,Mistake box,Index,"Team, index",Match index,Disable,Mobility,Deep,Shallow,Park,Removal,Offense,Defense,Accuracy
1,B1,9484,TRUE,0,0,0,0,0,0,0,3,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,x,x,2,"Very poor auto, kind of slow and unstable, consistently knock its own coral off the reef",,1,"9484,1","1,B1",0,1,0,0,1,0,x,x,2
1,B2,3256,TRUE,1,0,0,0,0,0,2,2,2,1,0,4,FALSE,FALSE,FALSE,TRUE,TRUE,2,x,3,"Good cycle time, reliable for net scoring and lower level reef scoring. Cannot effectively ground intake algae, but is able to quickly switch back to coral scoring. Struggles with climbing",,1,"3256,1","1,B2",0,1,0,0,1,1,2,x,3
1,B3,4451,TRUE,2,0,0,0,0,0,4,0,0,6,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,2,x,2,Ok cycles but missed a lot of L 1 and was a little wobbly on L 4. No ground intake or algae.,,1,"4451,1","1,B3",0,1,1,0,0,0,2,x,2
1,R1,4655,TRUE,3,0,0,0,0,0,3,3,4,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,3,x,2,"Working well in auto, working on coral, from L2-4, have higher accuracy and climb fast.",,1,"4655,1","1,R1",0,1,1,0,0,0,3,x,2
1,R2,2056,TRUE,5,0,0,0,0,0,1,4,5,4,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,3,x,3,Auto scores 5 coral,,1,"2056,1","1,R2",0,1,1,0,0,1,3,x,3
1,R3,4415,TRUE,0,0,0,0,0,1,1,2,4,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,x,x,x,"Didnt score on L4, descent cycle time, coral could get stuck in the robot",,1,"4415,1","1,R3",0,1,1,0,0,1,x,x,x
2,B1,4068,TRUE,1,0,0,0,0,2,1,4,4,1,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,x,x,3,"Can handle both coral and algae even during auto, very fast, but cant climb",,1,"4068,1","2,B1",0,1,0,0,1,0,x,x,3
2,B2,4607,TRUE,3,0,0,0,0,0,1,2,5,0,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,3,x,3,"Very reliable for lower level scoring, resourceful- switched to net scoring for algae when reef was filled. Quick cycle times, good at grabbing from station",,1,"4607,1","2,B2",0,1,1,0,0,0,3,x,3
2,B3,1796,TRUE,3,0,0,0,0,0,3,5,3,3,2,1,FALSE,TRUE,FALSE,FALSE,TRUE,3,x,3,"Very fast cycles, can score anything anywhere, no ground intake but has very good funnel that allows for as fast of cycles.",,1,"1796,1","2,B3",0,1,1,0,0,1,3,x,3
2,R1,6083,TRUE,1,0,0,0,0,0,1,0,2,0,2,0,FALSE,FALSE,FALSE,TRUE,TRUE,2,x,3,"1 L4 coral and algae removal in auto, move slowly and takes time on aiming. Can work on algae and coral, not sure if it be able to climb.",,1,"6083,1","2,R1",0,1,0,0,1,1,2,x,3
2,R2,1671,TRUE,3,0,0,0,0,0,2,4,3,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,2,x,3,Climb attached to intake,,1,"1671,1","2,R2",0,1,1,0,0,1,2,x,3
2,R3,7257,TRUE,2,0,0,0,0,0,1,7,5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,3,"Slower cycle time, extremely consistent with scoring, reliable climb",,1,"7257,1","2,R3",0,1,1,0,0,0,x,x,3
3,B1,2724,TRUE,0,0,0,0,0,1,0,4,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,2,"Could handle both game pieces, but often had algae fall out of end effector.",,1,"2724,1","3,B1",0,1,1,0,0,0,x,x,2
3,B2,1425,TRUE,3,0,0,0,0,0,4,4,0,1,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,3,x,3,"Reliable for L4 scoring, intaking from coral station is smooth, algae mechanism struggles to remove algae but is good at net scoring, scored quicker on section of the reef facing driver station",,1,"1425,1","3,B2",0,1,1,0,0,1,3,x,3
3,B3,3792,TRUE,0,0,0,0,0,0,0,0,0,8,4,0,FALSE,FALSE,FALSE,TRUE,TRUE,2,x,2,Only L1 scoring with good algae processor. No elevator.,,1,"3792,1","3,B3",0,1,0,0,1,1,2,x,2
3,R1,4421,TRUE,0,0,0,0,0,0,1,0,0,0,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,x,x,1,"Have higher accuracy on algae, but not for corals. Climb successfully.",,1,"4421,1","3,R1",0,1,1,0,0,1,x,x,1
3,R2,6832,FALSE,0,0,0,0,0,0,0,0,0,3,2,0,FALSE,FALSE,FALSE,TRUE,TRUE,1,x,2,Appears to only be able to score in L1,,1,"6832,1","3,R2",0,0,0,0,1,1,1,x,2
3,R3,1507,TRUE,1,0,0,0,0,0,0,0,0,1,3,0,FALSE,TRUE,FALSE,FALSE,TRUE,x,x,x,Coral got stuck in elevator during autonomous period due do improper load by the human player crippling the robot,,1,"1507,1","3,R3",0,1,1,0,0,1,x,x,x
4,B1,6017,FALSE,0,0,0,0,0,0,3,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,1,"Very fast, snappy end effector that often flung coral out of itself when cycling. No auto",,1,"6017,1","4,B1",0,0,1,0,0,0,x,x,1
4,B2,9199,,0,0,0,0,0,0,4,0,1,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,x,x,x,,,,,,,,,,,,,,
4,B3,6911,TRUE,1,0,0,0,0,1,5,1,1,0,2,6,FALSE,FALSE,FALSE,FALSE,TRUE,3,x,3,Slow movement but very smooth making fast cycles. Scores anything anywhere. Strong net algae scoring. Very consistent.,,1,"6911,1","4,B3",0,1,0,0,0,1,3,x,3
4,R1,6424,TRUE,2,0,0,0,0,0,2,4,8,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,3,x,3,"Working well in auto (2 coral), get the corals smooth and have high accuracy on every level of coral. Climb successfully.",,1,"6424,1","4,R1",0,1,1,0,0,0,3,x,3
4,R2,6995,TRUE,1,0,0,0,0,2,3,4,0,0,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,3,x,3,Can scoop coral off the ground,,1,"6995,1","4,R2",0,1,0,0,1,1,3,x,3
4,R3,418,TRUE,2,0,0,0,0,0,1,3,,2,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,2,"Very complicated arm/elevator combo, two coral auto and fast climb",,1,"418,1","4,R3",0,1,1,0,0,0,x,x,2
5,B1,78,TRUE,0,0,0,0,0,0,1,4,3,4,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,3,"Horrible accuracy during auto, but basically perfect during teleop. Can handle both game pieces very well",,1,"78,1","5,B1",0,1,1,0,0,0,x,x,3
5,B2,1833,TRUE,2,0,0,0,0,0,6,4,3,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,3,x,3,"Sometimes struggled to intake from station, but very reliable for quick scoring on higher levels. Has an L1 scoring mechanism, didn't see much of it. Was able to score atleast 1 piece.",,1,"1833,1","5,B2",0,1,1,0,0,1,3,x,3
5,B3,8575,TRUE,0,1,0,0,0,0,0,3,2,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,1,x,1,Very very slow movement and VERY slow elevator. One coral on L3 auto with one algae removal. I dont think they can score L4.,,1,"8575,1","5,B3",0,1,0,0,1,1,1,x,1
5,R1,4967,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,x,x,x,"Can work on coral on L4. Mostly work on algae removal, trying to hold it but failed. Trying to climb but failed.",,1,"4967,1","5,R1",0,1,0,0,1,1,x,x,x
5,R2,3492,TRUE,0,0,1,0,0,0,0,7,4,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,x,2,Outtake sometimes knocked other coral off,,1,"3492,1","5,R2",0,1,0,0,1,0,2,x,2
5,R3,6146,TRUE,0,0,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,x,1,x,"Very slow cycle time, major system must have failed before they played defense",,1,"6146,1","5,R3",0,1,0,0,1,0,x,1,x
6,B1,10291,TRUE,0,0,0,0,0,0,0,1,0,1,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,x,x,2,"Very average speed, and accuracy. The way it holds algae is VERY janky",,1,"10291,1","6,B1",0,1,1,0,0,0,x,x,2
6,B2,649,TRUE,0,0,0,0,0,0,7,3,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,2,x,3,"Autos were struggling. Not very fast cycle times, wastes a lot of time trying to intake. Good aiming system. Overall, wouldn't be a top pick, but wouldn't be a bottom either",,1,"649,1","6,B2",0,1,0,0,1,1,2,x,3
6,B3,10260,TRUE,0,0,0,0,0,0,0,0,0,9,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,x,2,"KIT BOT!!! With nothing else. Only can score L1, no algae, no climb, very jerky stop and go driving.",,1,"10260,1","6,B3",0,1,0,0,0,0,1,x,2
6,R1,302,TRUE,1,0,0,0,0,0,4,4,4,0,0,2,FALSE,FALSE,FALSE,TRUE,TRUE,3,x,2,"Can work on both coral and algae, have higher accuracy and move smoothly and fast. Try to climb but failed.",,1,"302,1","6,R1",0,1,0,0,1,1,3,x,2
6,R2,6909,TRUE,0,0,0,0,0,0,0,0,2,4,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,2,x,1,Climb takes 20 seconds,,1,"6909,1","6,R2",0,1,1,0,0,0,2,x,1
6,R3,4786,TRUE,0,0,0,0,0,0,1,1,0,2,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,x,x,2,"Slow cycle time, didnt core L 4 very often",,1,"4786,1","6,R3",0,1,0,0,1,0,x,x,2
7,B1,9280,TRUE,0,0,0,0,0,0,5,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,1,x,3,They were very very slow but made all the shots they took,,1,"9280,1","7,B1",0,1,0,0,1,1,1,x,3
7,B2,9312,TRUE,0,0,0,0,0,0,0,0,2,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,1,x,1,"Auto was supposed to be at least one L1 but failed and then it went towards the coral station but didnt make it. Struggled with intake a lot, when it did intake it it fell out from hitting something. Outtake not good either.",,1,"9312,1","7,B2",0,1,1,0,0,0,1,x,1
7,B3,4005,TRUE,0,0,0,0,0,0,7,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,3,x,2,"Deep climb is similar to ours, however it seemed to fail",,1,"4005,1","7,B3",0,1,0,0,1,0,3,x,2
7,R1,3297,TRUE,1,0,0,0,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,x,3,3,sucessful auto. brought algae into the blue place to more effectively play defense. removed an algae to score and block blue. got stuck on one of their own algae but quickly unstuck itself.,,1,"3297,1","7,R1",0,1,0,0,1,1,x,3,3
7,R2,7197,TRUE,0,0,0,0,0,0,2,2,4,2,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,x,1,Missed two coral in auto. Slow. Sometimes coral slips out of intake funnel,,1,"7197,1","7,R2",0,1,0,0,1,0,2,x,1
7,R3,5660,TRUE,3,0,0,0,0,0,2,5,4,1,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,2,x,2,"Almost missed 2 corals in auto, shot out a coral early and missed in teleop, average driving",,1,"5660,1","7,R3",0,1,1,0,0,1,2,x,2
8,B1,4013,TRUE,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,x,2,They were slow but seemed capable going to l1 l2 l3,,1,"4013,1","8,B1",0,1,0,0,1,0,2,x,2
8,B2,4613,TRUE,0,1,0,0,0,1,0,5,5,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,3,x,3,Auto also removed two algae and tried to put it in the net but overshot. Missed coral two times. Missed algae in net one time.,,1,"4613,1","8,B2",0,1,1,0,0,1,3,x,3
8,B3,7034,TRUE,2,0,0,0,0,0,7,3,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,3,x,3,Autonomous misses first coral in L4,,1,"7034,1","8,B3",0,1,1,0,0,0,3,x,3
8,R1,7048,TRUE,1,0,0,0,0,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,1,x,1,failed 2.5. struggled to intake. spent lots of time positioning and lots of coral fell out. got stuck on algae and needed help getting out. no attempt to climb,,1,"7048,1","8,R1",0,1,0,0,1,0,1,x,1
8,R2,6348,TRUE,0,0,0,0,0,0,2,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,1,x,1,Slow. Not accurate. Unstable at max extension. Dropped a few coral,,1,"6348,1","8,R2",0,1,0,0,1,0,1,x,1
8,R3,3173,TRUE,1,0,0,0,0,0,4,4,0,1,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,2,x,1,"Missed 2 corals in auto and missed 2 L4 shots in teleop, didnt drive very fast",,1,"3173,1","8,R3",0,1,0,0,1,1,2,x,1
9,B1,1847,TRUE,1,0,0,0,0,0,3,3,3,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,x,x,2,"They tired to climb did not, they were solid all level motion",,1,"1847,1","9,B1",0,1,0,0,1,0,x,x,2
9,B2,694,TRUE,3,0,0,0,0,0,3,4,4,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,3,x,3,Very fast and consitent cycle. Auto was 3.5 piece. The L1 score was supposed to be L4.,,1,"694,1","9,B2",0,1,1,0,0,0,3,x,3
