key,comp_level,set_number,match_number,team_key,start_Pos_5isBlue,a_L3,a_L2,a_L1,t_ground_alg,t_reefAlgae,t_Net,t_Proc,t_L4,t_L3,t_L2,t_L1,end_Pos,stuck_on_alg,auto_Notes,tele_Notes,a_reefAlgae,match_Scouter,a_Proc,a_L4,endgame_Notes,a_Net,t_Defense,a_Leave,r1,b2,b3,b1,ba_bluescore,r2,r3,ba_redscore
2025dal_qm1,qm,1,1,frc4655,1,0,0,0,0,0,0,0,3,4,4,0,Deep Climb,0,"Scored 3 coral on l4, placing looked efficient and reliable","Focused only on coral cycling, scored 11 coral, only missed two coral places. Station collect was okay.",0,DS,0,3,"Deep climbed, did it in around 12 seconds, and was well over ground.",0,0,1,frc4655,frc3256,frc4451,frc9484,-1,frc2056,frc4415,-1
2025dal_qm1,qm,1,1,frc2056,1,0,0,0,0,3,0,2,1,4,5,6,Deep Climb,0,Great five coral auto,super quick ground collect and extremely versatile with both coral and algae,0,Np,0,5,they climbed pretty quick,0,0,1,frc4655,frc3256,frc4451,frc9484,-1,frc2056,frc4415,-1
2025dal_qm1,qm,1,1,frc4415,3,0,0,0,0,0,1,0,0,4,2,1,Deep Climb,0,They missed their first auto coral,They also missed two algae in the next but have a relatively efficient ground intake,0,SG,0,2,Climb was smooth and timely,0,0,1,frc4655,frc3256,frc4451,frc9484,-1,frc2056,frc4415,-1
2025dal_qm1,qm,1,1,frc9484,4,0,0,0,0,2,0,0,0,3,0,0,None,0,,"Coral stuck, switched to defense",0,LV,0,0,,0,1,1,frc4655,frc3256,frc4451,frc9484,-1,frc2056,frc4415,-1
2025dal_qm1,qm,1,1,frc3256,4,0,0,0,0,4,3,0,1,2,3,0,Park,0,attempted only one ,had trouble with algae intake specifically trouble with algae ground intake,0,Aw,0,1,Attempt to deep climb but was unable to in time seemed to go back and forth perhaps to attempt to latch,0,0,1,frc4655,frc3256,frc4451,frc9484,-1,frc2056,frc4415,-1
2025dal_qm1,qm,1,1,frc4451,2,0,0,0,0,0,0,0,3,1,0,4,None,0,2 coral,,0,hd,0,2,,0,0,1,frc4655,frc3256,frc4451,frc9484,-1,frc2056,frc4415,-1
2025dal_qm10,qm,1,10,frc9301,3,0,0,1,3,0,0,3,0,0,0,6,None,0,Moved forward and placed one coral on l1.,"Cycled a total of 6 coral on l1, pretty good l1 robot and was also good with ground collecting algae and putting it in the processor. ",0,DS,0,0,"Didn't climb or park, as they hit the reef and they stopped/froze.",0,0,1,frc9301,frc1731,frc8738,frc179,-1,frc10698,frc8808,-1
2025dal_qm10,qm,1,10,frc10698,4,0,0,1,0,1,0,0,0,0,0,0,Park,0,decent auto with one coral in level one,very ,0,,0,0,,0,0,1,frc9301,frc1731,frc8738,frc179,-1,frc10698,frc8808,-1
2025dal_qm10,qm,1,10,frc8808,1,0,0,0,0,0,0,0,6,0,0,0,Deep Climb,0,They got stuck on L4 with their second auto coral,They had slow cycling. L4 placement seemed iffy since they missed 2-3 pieces of coral. ,0,SG,0,1,,0,0,1,frc9301,frc1731,frc8738,frc179,-1,frc10698,frc8808,-1
2025dal_qm10,qm,1,10,frc179,1,0,0,0,1,1,2,0,3,4,4,3,None,0,"missed placing 2 coral, missed collecting 1 and ran out of time for the 4th",,1,HD,0,0,They froze right at the beging ,0,0,1,frc9301,frc1731,frc8738,frc179,-1,frc10698,frc8808,-1
